Facility ID,Facility Name,Facility Type,District,Description,Has Clinic,Status,Created At,Updated At
cme99emd1004djncdia48w9da,"Electric Aizawl SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99empg00h3jncdrxe67uvf,"Electric Lunglei SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99em9s0017jncdmals599y,"Farkawn PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emi400aljncd4b229go4,"Farkawn SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99empi00h5jncdxg8f0un3,"Farmveng SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99embc002pjncdwi459ifb,"Haulawng PHC","PHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99empk00h7jncdg5nyfx3p,"Haulawng SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99empp00h9jncd0d0xczsg,"Hauruang SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cmeh1pp0s02h5jnanqqo9nc7r,"Hlimen","A_HWC","Aizawl West","",No,Active,"18/08/2025","18/08/2025"
cmekx20rx003pjnbqj2aiskki,"Hlimen SC","SC_HWC","Aizawl West","",No,Active,"21/08/2025","21/08/2025"
cme99em8t0007jncdcbt54wax,"Hlimen UPHC","UPHC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emyg00q3jncdczbkps9z,"Hmarveng UHWC","U_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emhe009njncdd9hc2buj,"Hmunhmeltha SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emn700fnjncd5azdc7ir,"Hmunlai SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emgo008njncdxdhgvx69,"Hmunpui SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emwj00o3jncdanbp8axn,"Hmuntha SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emsq00k1jncdka1k9uzq,"Hnahchang / Zotuitlang SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99em9v0019jncd5tvpsr8k,"Hnahlan PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emi900arjncdg64mcwpu,"Hnahlan SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emps00hbjncdn4bzj2ri,"Hnahthial SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emy800ptjncdvepi1p6f,"Hnahthial UHWC","U_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emkz00dnjncd9y94xiap,"Hortoki SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99empv00hdjncd9bn9e3wp,"Hrangchalkawn SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99em8z000fjncd2wn4p1d3,"Hrangchalkawn UPHC","UPHC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emxl00p5jncd5jcwyuso,"Hriangtlang SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emtn00ktjncdyyjaxfuw,"Hriphaw SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emga0081jncdma8fxn88,"Hualngohmun SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emwk00o5jncdvjilmwpc,"Hualtu SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emfs007njncdr4e9n6u1,"Hunthar SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emgj008fjncdxjy4598d,"ITI SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99em8j0001jncd13o9m78z,"ITI UPHC","UPHC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emly00enjncdx2tlzleb,"Jarulsury SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cmeh21e9g02ifjnaneax8q884,"Kanan","SC_HWC","Aizawl West","",No,Active,"18/08/2025","18/08/2025"
cme99emcj003tjncdagubdbha,"Kanghmun PHC","PHC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emv100mbjncdlzef9uuz,"Kanghmun SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emxi00p1jncdbwitwy3k,"Kanghmun South SC","SC_HWC","Serchhip","",No,Active,"13/08/2025","13/08/2025"
cme99emum00lvjncdfjatkscx,"Kanhmun SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99emjr00cdjncd61u08en0,"Kawlbem SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emli00e9jncdhmjnnkh6,"Kawlchaw SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99empy00hfjncdbcxy2wub,"Kawlhawk SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99em9y001bjncdr1o81upc,"Kawlkulh PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emin00b3jncd0rfh25hw,"Kawlkulh SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
